0.25,0.5,0.75,1,2.75,2.75,5.5,5.5,11,22,33,44,weight,nobar
0,0,0,0,0,0,0,0,0,0,0,0,45,0
0.25,0,0,0,0,0,0,0,0,0,0,0,45.5,0.25
0,0.5,0,0,0,0,0,0,0,0,0,0,46,0.5
0,0,0.75,0,0,0,0,0,0,0,0,0,46.5,0.75
0,0,0,1,0,0,0,0,0,0,0,0,47,1
0,0.5,0.75,0,0,0,0,0,0,0,0,0,47.5,1.25
0,0.5,0,1,0,0,0,0,0,0,0,0,48,1.5
0,0,0.75,1,0,0,0,0,0,0,0,0,48.5,1.75
0.25,0,0.75,1,0,0,0,0,0,0,0,0,49,2
0,0.5,0.75,1,0,0,0,0,0,0,0,0,49.5,2.25
0.25,0.5,0.75,1,0,0,0,0,0,0,0,0,50,2.5
0,0,0,0,0,2.75,0,0,0,0,0,0,50.5,2.75
0.25,0,0,0,0,2.75,0,0,0,0,0,0,51,3
0,0.5,0,0,0,2.75,0,0,0,0,0,0,51.5,3.25
0,0,0.75,0,0,2.75,0,0,0,0,0,0,52,3.5
0,0,0,1,0,2.75,0,0,0,0,0,0,52.5,3.75
0,0.5,0.75,0,0,2.75,0,0,0,0,0,0,53,4
0,0.5,0,1,0,2.75,0,0,0,0,0,0,53.5,4.25
0,0,0.75,1,0,2.75,0,0,0,0,0,0,54,4.5
0.25,0,0.75,1,0,2.75,0,0,0,0,0,0,54.5,4.75
0,0.5,0.75,1,0,2.75,0,0,0,0,0,0,55,5
0.25,0.5,0.75,1,0,2.75,0,0,0,0,0,0,55.5,5.25
0,0,0,0,0,0,0,5.5,0,0,0,0,56,5.5
0.25,0,0,0,0,0,0,5.5,0,0,0,0,56.5,5.75
0,0.5,0,0,0,0,0,5.5,0,0,0,0,57,6
0,0,0.75,0,0,0,0,5.5,0,0,0,0,57.5,6.25
0,0,0,1,0,0,0,5.5,0,0,0,0,58,6.5
0,0.5,0.75,0,0,0,0,5.5,0,0,0,0,58.5,6.75
0,0.5,0,1,0,0,0,5.5,0,0,0,0,59,7
0,0,0.75,1,0,0,0,5.5,0,0,0,0,59.5,7.25
0.25,0,0.75,1,0,0,0,5.5,0,0,0,0,60,7.5
0,0.5,0.75,1,0,0,0,5.5,0,0,0,0,60.5,7.75
0.25,0.5,0.75,1,0,0,0,5.5,0,0,0,0,61,8
0,0,0,0,0,2.75,0,5.5,0,0,0,0,61.5,8.25
0.25,0,0,0,0,2.75,0,5.5,0,0,0,0,62,8.5
0,0.5,0,0,0,2.75,0,5.5,0,0,0,0,62.5,8.75
0,0,0.75,0,0,2.75,0,5.5,0,0,0,0,63,9
0,0,0,1,0,2.75,0,5.5,0,0,0,0,63.5,9.25
0,0.5,0.75,0,0,2.75,0,5.5,0,0,0,0,64,9.5
0,0.5,0,1,0,2.75,0,5.5,0,0,0,0,64.5,9.75
0,0,0.75,1,0,2.75,0,5.5,0,0,0,0,65,10
0.25,0,0.75,1,0,2.75,0,5.5,0,0,0,0,65.5,10.25
0,0.5,0.75,1,0,2.75,0,5.5,0,0,0,0,66,10.5
0.25,0.5,0.75,1,0,2.75,0,5.5,0,0,0,0,66.5,10.75
