day,type,exercise,training_max,increment_per_cycle
1,main,squat,198,10
1,main,gm standing,80,5
1,main,db lunge,75,5
1,main,situp,20,2.5
2,main,bench,144,5
2,main,db flies,67.5,2.5
2,main,wide dips,20,2.5
2,main,knuckle dusters,25,2.5
3,main,deadlift,225,10
3,main,db skull crusher,20,1.25
3,main,kroc rows,45,5
3,main,situp,20,2.5
4,main,overhead press,105,2.5
4,main,pullup,10,2.5
4,main,curl,20,2.5
4,main,knuckle dusters,25,2.5
